t,c_mean,c_surface,c_bulk,gamma_max,gamma_surface,R_max,R_surface,j_mean
4.00000000e-01,1.00016703e+04,1.00016752e+04,1.00016698e+04,5.99933208e-01,5.99933075e-01,2.12449358e-03,2.12449358e-03,4.77860285e+00
4.05000000e-01,1.00016913e+04,1.00019041e+04,1.00016698e+04,5.99933208e-01,5.99923923e-01,2.23309546e-01,2.23309546e-01,5.04184920e+00
4.10000000e-01,1.00017113e+04,1.00021210e+04,1.00016698e+04,5.99933208e-01,5.99915260e-01,4.32912811e-01,4.32912811e-01,5.78739740e+00
4.15000000e-01,1.00017343e+04,1.00018207e+04,1.00017255e+04,5.99930980e-01,5.99927249e-01,8.88145773e-02,8.88145773e-02,4.46983272e+00
4.20000000e-01,1.00017514e+04,1.00020069e+04,1.00017255e+04,5.99930979e-01,5.99919822e-01,2.68703071e-01,2.68703071e-01,5.58765206e+00
4.25000000e-01,1.00017774e+04,1.00017825e+04,1.00017769e+04,5.99928936e-01,5.99928684e-01,1.19053546e-04,1.19053546e-04,5.32443593e+00
4.30000000e-01,1.00017939e+04,1.00019190e+04,1.00017812e+04,5.99928751e-01,5.99923319e-01,1.29906613e-01,1.29906613e-01,4.57890488e+00
4.35000000e-01,1.00018180e+04,1.00021808e+04,1.00017812e+04,5.99928750e-01,5.99912871e-01,3.82866505e-01,3.82866505e-01,5.89651741e+00
4.40000000e-01,1.00018373e+04,1.00018422e+04,1.00018368e+04,5.99926529e-01,5.99926395e-01,2.12451794e-03,2.12451794e-03,4.77871085e+00
4.45000000e-01,1.00018583e+04,1.00020711e+04,1.00018368e+04,5.99926529e-01,5.99917243e-01,2.23312106e-01,2.23312106e-01,5.04196315e+00
4.50000000e-01,1.00018783e+04,1.00022880e+04,1.00018368e+04,5.99926528e-01,5.99908580e-01,4.32917774e-01,4.32917774e-01,5.78752820e+00
4.55000000e-01,1.00019013e+04,1.00019877e+04,1.00018925e+04,5.99924300e-01,5.99920569e-01,8.88155956e-02,8.88155956e-02,4.46993374e+00
4.60000000e-01,1.00019184e+04,1.00021739e+04,1.00018925e+04,5.99924300e-01,5.99913143e-01,2.68706152e-01,2.68706152e-01,5.58777834e+00
4.65000000e-01,1.00019444e+04,1.00019495e+04,1.00019439e+04,5.99922256e-01,5.99922004e-01,1.19054911e-04,1.19054911e-04,5.32455626e+00
4.70000000e-01,1.00019609e+04,1.00020860e+04,1.00019482e+04,5.99922071e-01,5.99916639e-01,1.29908102e-01,1.29908102e-01,4.57900837e+00
4.75000000e-01,1.00019849e+04,1.00023478e+04,1.00019482e+04,5.99922071e-01,5.99906191e-01,3.82870895e-01,3.82870895e-01,5.89665067e+00
4.80000000e-01,1.00020043e+04,1.00020092e+04,1.00020038e+04,5.99919849e-01,5.99919715e-01,2.12454230e-03,2.12454230e-03,4.77881885e+00
4.85000000e-01,1.00020253e+04,1.00022381e+04,1.00020038e+04,5.99919849e-01,5.99910564e-01,2.23314667e-01,2.23314667e-01,5.04207710e+00
4.90000000e-01,1.00020452e+04,1.00024550e+04,1.00020038e+04,5.99919849e-01,5.99901901e-01,4.32922737e-01,4.32922737e-01,5.78765899e+00
4.95000000e-01,1.00020683e+04,1.00021547e+04,1.00020595e+04,5.99917620e-01,5.99913890e-01,8.88166139e-02,8.88166139e-02,4.47003476e+00
5.00000000e-01,1.00020854e+04,1.00023409e+04,1.00020595e+04,5.99917620e-01,5.99906463e-01,2.68709232e-01,2.68709232e-01,5.58790462e+00
5.05000000e-01,1.00021114e+04,1.00021165e+04,1.00021109e+04,5.99915576e-01,5.99915325e-01,1.19056276e-04,1.19056276e-04,5.32467659e+00
5.10000000e-01,1.00021279e+04,1.00022530e+04,1.00021152e+04,5.99915391e-01,5.99909959e-01,1.29909592e-01,1.29909592e-01,4.57911185e+00
5.15000000e-01,1.00021519e+04,1.00025148e+04,1.00021152e+04,5.99915391e-01,5.99899512e-01,3.82875284e-01,3.82875284e-01,5.89678393e+00
5.20000000e-01,1.00021713e+04,1.00021762e+04,1.00021708e+04,5.99913169e-01,5.99913035e-01,2.12456666e-03,2.12456666e-03,4.77892685e+00
5.25000000e-01,1.00021923e+04,1.00024051e+04,1.00021708e+04,5.99913169e-01,5.99903884e-01,2.23317227e-01,2.23317227e-01,5.04219105e+00
5.30000000e-01,1.00022122e+04,1.00026220e+04,1.00021708e+04,5.99913169e-01,5.99895221e-01,4.32927700e-01,4.32927700e-01,5.78778979e+00
5.35000000e-01,1.00022352e+04,1.00023217e+04,1.00022265e+04,5.99910940e-01,5.99907210e-01,8.88176322e-02,8.88176322e-02,4.47013578e+00
5.40000000e-01,1.00022523e+04,1.00025079e+04,1.00022265e+04,5.99910940e-01,5.99899784e-01,2.68712313e-01,2.68712313e-01,5.58803091e+00
5.45000000e-01,1.00022784e+04,1.00022835e+04,1.00022779e+04,5.99908897e-01,5.99908645e-01,1.19057641e-04,1.19057641e-04,5.32479693e+00
5.50000000e-01,1.00022949e+04,1.00024200e+04,1.00022822e+04,5.99908711e-01,5.99903280e-01,1.29911081e-01,1.29911081e-01,4.57921533e+00
5.55000000e-01,1.00023189e+04,1.00026818e+04,1.00022822e+04,5.99908711e-01,5.99892832e-01,3.82879673e-01,3.82879673e-01,5.89691719e+00
5.60000000e-01,1.00023383e+04,1.00023432e+04,1.00023378e+04,5.99906490e-01,5.99906356e-01,2.12459102e-03,2.12459102e-03,4.77903485e+00
5.65000000e-01,1.00023593e+04,1.00025721e+04,1.00023378e+04,5.99906490e-01,5.99897205e-01,2.23319787e-01,2.23319787e-01,5.04230499e+00
5.70000000e-01,1.00023792e+04,1.00027890e+04,1.00023378e+04,5.99906489e-01,5.99888542e-01,4.32932663e-01,4.32932663e-01,5.78792058e+00
5.75000000e-01,1.00024022e+04,1.00024887e+04,1.00023935e+04,5.99904261e-01,5.99900531e-01,8.88186503e-02,8.88186503e-02,4.47023680e+00
5.80000000e-01,1.00024193e+04,1.00026748e+04,1.00023935e+04,5.99904261e-01,5.99893104e-01,2.68715393e-01,2.68715393e-01,5.58815719e+00
5.85000000e-01,1.00024454e+04,1.00024505e+04,1.00024448e+04,5.99902217e-01,5.99901966e-01,1.19059006e-04,1.19059006e-04,5.32491726e+00
5.90000000e-01,1.00024619e+04,1.00025870e+04,1.00024492e+04,5.99902032e-01,5.99896600e-01,1.29912570e-01,1.29912570e-01,4.57931882e+00
5.95000000e-01,1.00024859e+04,1.00028488e+04,1.00024492e+04,5.99902032e-01,5.99886153e-01,3.82884062e-01,3.82884062e-01,5.89705045e+00
6.00000000e-01,1.00025052e+04,1.00025102e+04,1.00025047e+04,5.99899810e-01,5.99899676e-01,2.12461537e-03,2.12461537e-03,4.77914284e+00
6.05000000e-01,1.00025263e+04,1.00027391e+04,1.00025047e+04,5.99899810e-01,5.99890525e-01,2.23322347e-01,2.23322347e-01,5.04241894e+00
6.10000000e-01,1.00025462e+04,1.00029560e+04,1.00025048e+04,5.99899810e-01,5.99881863e-01,4.32937626e-01,4.32937626e-01,5.78805138e+00
6.15000000e-01,1.00025692e+04,1.00026557e+04,1.00025605e+04,5.99897581e-01,5.99893851e-01,8.88196685e-02,8.88196685e-02,4.47033781e+00
6.20000000e-01,1.00025863e+04,1.00028418e+04,1.00025605e+04,5.99897581e-01,5.99886425e-01,2.68718473e-01,2.68718473e-01,5.58828346e+00
6.25000000e-01,1.00026123e+04,1.00026174e+04,1.00026118e+04,5.99895538e-01,5.99895286e-01,1.19060371e-04,1.19060371e-04,5.32503759e+00
6.30000000e-01,1.00026288e+04,1.00027540e+04,1.00026162e+04,5.99895353e-01,5.99889921e-01,1.29914059e-01,1.29914059e-01,4.57942230e+00
6.35000000e-01,1.00026529e+04,1.00030157e+04,1.00026162e+04,5.99895352e-01,5.99879474e-01,3.82888451e-01,3.82888451e-01,5.89718371e+00
6.40000000e-01,1.00026722e+04,1.00026772e+04,1.00026717e+04,5.99893131e-01,5.99892997e-01,2.12463972e-03,2.12463972e-03,4.77925084e+00
6.45000000e-01,1.00026933e+04,1.00029061e+04,1.00026717e+04,5.99893131e-01,5.99883846e-01,2.23324907e-01,2.23324907e-01,5.04253288e+00
6.50000000e-01,1.00027132e+04,1.00031229e+04,1.00026717e+04,5.99893131e-01,5.99875184e-01,4.32942588e-01,4.32942588e-01,5.78818217e+00
6.55000000e-01,1.00027362e+04,1.00028227e+04,1.00027275e+04,5.99890902e-01,5.99887172e-01,8.88206865e-02,8.88206865e-02,4.47043883e+00
6.60000000e-01,1.00027533e+04,1.00030088e+04,1.00027275e+04,5.99890902e-01,5.99879746e-01,2.68721553e-01,2.68721553e-01,5.58840974e+00
6.65000000e-01,1.00027793e+04,1.00027844e+04,1.00027788e+04,5.99888859e-01,5.99888607e-01,1.19061735e-04,1.19061735e-04,5.32515791e+00
6.70000000e-01,1.00027958e+04,1.00029210e+04,1.00027832e+04,5.99888673e-01,5.99883242e-01,1.29915548e-01,1.29915548e-01,4.57952578e+00
6.75000000e-01,1.00028199e+04,1.00031827e+04,1.00027832e+04,5.99888673e-01,5.99872795e-01,3.82892839e-01,3.82892839e-01,5.89731696e+00
6.80000000e-01,1.00028392e+04,1.00028442e+04,1.00028387e+04,5.99886451e-01,5.99886318e-01,2.12466408e-03,2.12466408e-03,4.77935883e+00
6.85000000e-01,1.00028602e+04,1.00030730e+04,1.00028387e+04,5.99886451e-01,5.99877167e-01,2.23327466e-01,2.23327466e-01,5.04264683e+00
6.90000000e-01,1.00028802e+04,1.00032899e+04,1.00028387e+04,5.99886451e-01,5.99868505e-01,4.32947550e-01,4.32947550e-01,5.78831296e+00
6.95000000e-01,1.00029032e+04,1.00029896e+04,1.00028944e+04,5.99884223e-01,5.99880493e-01,8.88217046e-02,8.88217046e-02,4.47053984e+00
7.00000000e-01,1.00029203e+04,1.00031758e+04,1.00028944e+04,5.99884223e-01,5.99873067e-01,2.68724633e-01,2.68724633e-01,5.58853602e+00
7.05000000e-01,1.00029463e+04,1.00029514e+04,1.00029458e+04,5.99882179e-01,5.99881928e-01,1.19063100e-04,1.19063100e-04,5.32527824e+00
7.10000000e-01,1.00029628e+04,1.00030879e+04,1.00029502e+04,5.99881994e-01,5.99876563e-01,1.29917037e-01,1.29917037e-01,4.57962925e+00
7.15000000e-01,1.00029869e+04,1.00033497e+04,1.00029502e+04,5.99881994e-01,5.99866116e-01,3.82897228e-01,3.82897228e-01,5.89745022e+00
7.20000000e-01,1.00030062e+04,1.00030111e+04,1.00030057e+04,5.99879772e-01,5.99879638e-01,2.12468843e-03,2.12468843e-03,4.77946682e+00
7.25000000e-01,1.00030272e+04,1.00032400e+04,1.00030057e+04,5.99879772e-01,5.99870488e-01,2.23330026e-01,2.23330026e-01,5.04276077e+00
7.30000000e-01,1.00030472e+04,1.00034569e+04,1.00030057e+04,5.99879772e-01,5.99861826e-01,4.32952512e-01,4.32952512e-01,5.78844375e+00
7.35000000e-01,1.00030702e+04,1.00031566e+04,1.00030614e+04,5.99877544e-01,5.99873814e-01,8.88227226e-02,8.88227226e-02,4.47064086e+00
7.40000000e-01,1.00030873e+04,1.00033428e+04,1.00030614e+04,5.99877543e-01,5.99866388e-01,2.68727713e-01,2.68727713e-01,5.58866229e+00
7.45000000e-01,1.00031133e+04,1.00031184e+04,1.00031128e+04,5.99875500e-01,5.99875249e-01,1.19064465e-04,1.19064465e-04,5.32539857e+00
7.50000000e-01,1.00031298e+04,1.00032549e+04,1.00031171e+04,5.99875315e-01,5.99869884e-01,1.29918526e-01,1.29918526e-01,4.57973273e+00
7.55000000e-01,1.00031538e+04,1.00035167e+04,1.00031171e+04,5.99875315e-01,5.99859437e-01,3.82901616e-01,3.82901616e-01,5.89758347e+00
7.60000000e-01,1.00031732e+04,1.00031781e+04,1.00031727e+04,5.99873093e-01,5.99872959e-01,2.12471278e-03,2.12471278e-03,4.77957482e+00
7.65000000e-01,1.00031942e+04,1.00034070e+04,1.00031727e+04,5.99873093e-01,5.99863809e-01,2.23332585e-01,2.23332585e-01,5.04287471e+00
7.70000000e-01,1.00032141e+04,1.00036239e+04,1.00031727e+04,5.99873093e-01,5.99855147e-01,4.32957473e-01,4.32957473e-01,5.78857454e+00
7.75000000e-01,1.00032371e+04,1.00033236e+04,1.00032284e+04,5.99870864e-01,5.99867135e-01,8.88237405e-02,8.88237405e-02,4.47074187e+00
7.80000000e-01,1.00032542e+04,1.00035097e+04,1.00032284e+04,5.99870864e-01,5.99859709e-01,2.68730793e-01,2.68730793e-01,5.58878857e+00
7.85000000e-01,1.00032803e+04,1.00032854e+04,1.00032797e+04,5.99868821e-01,5.99868570e-01,1.19065829e-04,1.19065829e-04,5.32551889e+00
7.90000000e-01,1.00032968e+04,1.00034219e+04,1.00032841e+04,5.99868636e-01,5.99863205e-01,1.29920015e-01,1.29920015e-01,4.57983621e+00
7.95000000e-01,1.00033208e+04,1.00036836e+04,1.00032841e+04,5.99868636e-01,5.99852758e-01,3.82906003e-01,3.82906003e-01,5.89771672e+00
8.00000000e-01,1.00033401e+04,1.00033451e+04,1.00033396e+04,5.99866414e-01,5.99866280e-01,2.12473713e-03,2.12473713e-03,4.77968281e+00
8.05000000e-01,1.00033612e+04,1.00035740e+04,1.00033396e+04,5.99866414e-01,5.99857130e-01,2.23335145e-01,2.23335145e-01,5.04298865e+00
8.10000000e-01,1.00033811e+04,1.00037908e+04,1.00033396e+04,5.99866414e-01,5.99848468e-01,4.32962434e-01,4.32962434e-01,5.78870533e+00
8.15000000e-01,1.00034041e+04,1.00034906e+04,1.00033954e+04,5.99864185e-01,5.99860456e-01,8.88247584e-02,8.88247584e-02,4.47084288e+00
8.20000000e-01,1.00034212e+04,1.00036767e+04,1.00033954e+04,5.99864185e-01,5.99853030e-01,2.68733872e-01,2.68733872e-01,5.58891484e+00
8.25000000e-01,1.00034472e+04,1.00034523e+04,1.00034467e+04,5.99862142e-01,5.99861891e-01,1.19067193e-04,1.19067193e-04,5.32563922e+00
8.30000000e-01,1.00034637e+04,1.00035889e+04,1.00034511e+04,5.99861957e-01,5.99856526e-01,1.29921504e-01,1.29921504e-01,4.57993969e+00
8.35000000e-01,1.00034878e+04,1.00038506e+04,1.00034511e+04,5.99861957e-01,5.99846079e-01,3.82910391e-01,3.82910391e-01,5.89784998e+00
8.40000000e-01,1.00035071e+04,1.00035121e+04,1.00035066e+04,5.99859735e-01,5.99859601e-01,2.12476148e-03,2.12476148e-03,4.77979080e+00
8.45000000e-01,1.00035282e+04,1.00037409e+04,1.00035066e+04,5.99859735e-01,5.99850451e-01,2.23337704e-01,2.23337704e-01,5.04310259e+00
8.50000000e-01,1.00035481e+04,1.00039578e+04,1.00035066e+04,5.99859735e-01,5.99841789e-01,4.32967396e-01,4.32967396e-01,5.78883612e+00
