r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
1.71238386e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.81421383e-08,0.99474272,0.00000000
1.69289119e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.91251046e-08,0.99474272,0.00000000
1.67339853e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.01543873e-08,0.99474272,0.00000000
1.65390586e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.12327468e-08,0.99474272,0.00000000
1.63441320e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.23631435e-08,0.99474272,0.00000000
1.61492053e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.35487543e-08,0.99474272,0.00000000
1.59542787e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.47929921e-08,0.99474272,0.00000000
1.57593520e+03,1.00000000,999999.99997124,1.00000000,0.00100000,7.21990517e-08,0.33158091,0.00000000
1.55644254e+03,1.00000000,999999.99997124,1.00000000,0.00100000,7.49446075e-08,0.33158091,0.00000000
1.53694987e+03,1.00000000,999999.99997124,1.00000000,0.00100000,7.78311558e-08,0.33158091,0.00000000
1.51745721e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.08678645e-08,0.33158091,0.00000000
1.49796454e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.40646264e-08,0.33158091,0.00000000
1.47847188e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.74321266e-08,0.33158091,0.00000000
1.45897921e+03,1.00000000,999999.99997124,1.00000000,0.00100000,9.09819180e-08,0.33158091,0.00000000
1.43948655e+03,1.00000000,999999.99997124,1.00000000,0.00100000,9.47265043e-08,0.33158091,0.00000000
1.41999388e+03,1.00000000,999999.99997124,1.00000000,0.00100000,9.86794325e-08,0.33158091,0.00000000
1.40050122e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.02855396e-07,0.33158091,0.00000000
1.38100855e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.07270350e-07,0.33158091,0.00000000
1.36151589e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.11941639e-07,0.33158091,0.00000000
1.34202322e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.16888140e-07,0.33158091,0.00000000
1.32253056e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.22130423e-07,0.33158091,0.00000000
1.30303789e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.27690930e-07,0.33158091,0.00000000
1.28354523e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.33594181e-07,0.33158091,0.00000000
1.26405256e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.39866993e-07,0.33158091,0.00000000
1.24455990e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.46538747e-07,0.33158091,0.00000000
